cond_scale,column,desired_val,actual_val
2.0,original_shape_MinorAxisLength,21.24186043854371,22.86473916809322
2.0,original_shape_Sphericity,0.6869630797090076,0.7953025719635992
2.0,original_shape_SurfaceArea,2796.6526321696438,2935.671195381863
2.0,original_shape_SurfaceVolumeRatio,0.3531887226654524,0.2767412514500248
2.0,original_shape_VoxelVolume,7995.000839233398,11136.0
4.0,diameter_x_mm,9.726563930511475,0.0
4.0,diameter_y_mm,8.916016936302185,0.0
4.0,diameter_z_mm,7.5,0.0
4.0,original_shape_Elongation,0.9022755811278974,0.9999999999999999
4.0,original_shape_Flatness,0.8052599424316179,0.9999999999999999
4.0,original_shape_LeastAxisLength,6.916119604184885,7.999999999999999
4.0,original_shape_MajorAxisLength,8.58867955520114,8.0
4.0,original_shape_Maximum2DDiameterColumn,10.042711082886278,8.94427190999916
4.0,original_shape_Maximum2DDiameterRow,9.60616472977425,8.94427190999916
4.0,original_shape_Maximum2DDiameterSlice,9.86072977084423,8.94427190999916
4.0,original_shape_Maximum3DDiameter,10.332904904368483,9.797958971132712
4.0,original_shape_MeshVolume,298.41555492057523,362.6666666666667
4.0,original_shape_MinorAxisLength,7.7493558367904,7.999999999999999
4.0,original_shape_Sphericity,0.7951250307422678,0.9478140809945297
4.0,original_shape_SurfaceArea,271.5999404881877,259.4773149089191
4.0,original_shape_SurfaceVolumeRatio,0.9101400245723428,0.7154705374326813
4.0,original_shape_VoxelVolume,307.1411559416447,512.0
4.0,diameter_x_mm,9.726563930511475,0.0
4.0,diameter_y_mm,8.916016936302185,0.0
